Stations = {
  <"POGO", 1, 13>,  // station name, station id, number of antennas
  <"46A",1,28260,1607,30480>,
  <"46B",1,26760,1196,28980>,
  <"47",5,23820,1021,25860>,
  <"47A",5,24540,1493,26580>,
  <"47B",5,25500,1734,27540>,
  <"48",1,26820,1213,29100>,
  <"48A",1,28680,1875,30960>,
  <"48B",1,29100,2163,31380>,
  <"49",1,26700,1614,28680>,
  <"49A",1,29220,1439,31200>,
  <"49B",1,27780,1936,29760>,
  <"50",3,26220,1335,28260>,
  <"50A",3,27360,1743,29400>,
  <"50B",3,26760,1516,28800>,
  <"51",6,24600,1487,26700>,
  <"51A",6,26700,2075,28800>,
  <"51B",6,26220,1409,28320>,
  <"52",5,26700,1289,28920>,
  <"52A",5,29760,2154,31980>,
  <"52B",5,30180,1956,32400>,
  <"53",8,26460,1552,28380>,
  <"53A",8,28620,1827,30540>,
  <"53B",8,28560,1271,30480>,
  <"54",2,26880,1335,29040>,
  <"54A",2,27840,1721,30000>,
  <"54B",2,30060,2018,32220>,
  <"55",7,27960,1941,30120>,
  <"55A",7,31080,1583,33240>,
  <"55B",7,29880,1094,32040>,
  <"56",5,27420,1247,29400>,
  <"56A",5,30000,1248,31980>,
  <"56B",5,30840,1113,32820>,
  <"57",6,27780,1407,29640>,
  <"57A",6,30480,1601,32340>,
  <"57B",6,30600,1654,32460>,
  <"58",6,29220,1896,31500>,
  <"58A",6,30840,2128,33120>,
  <"58B",6,31560,1788,33840>,
  <"59",2,28440,1028,30180>,
  <"59A",2,31500,1316,33240>,
  <"59B",2,30300,1383,32040>,
  <"60",1,31380,1483,33600>,
  <"60A",1,32760,1502,34980>,
  <"60B",1,34380,1702,36600>,
  <"61",5,29880,1184,31860>,
  <"61A",5,31380,1284,33360>,
  <"61B",5,32580,1016,34560>,
  <"62",9,30240,1672,32280>,
  <"62A",9,33360,1764,35400>,
  <"62B",9,31980,1240,34020>,
  <"63",6,29700,1494,31440>,
  <"63A",6,31500,917,33240>,
  <"63B",6,30240,1062,31980>,
  <"64",1,30900,1910,32820>,
  <"64A",1,32760,1060,34680>,
  <"64B",1,33360,1669,35280>,
  <"65",1,30840,1423,33060>,
  <"65A",1,32040,2188,34260>,
  <"65B",1,33120,1774,35340>,
  <"66",5,32760,1630,34740>,
  <"66A",5,35160,1964,37140>,
  <"66B",5,33540,991,35520>,
  <"67",7,31200,1158,33300>,
  <"67A",7,32520,1832,34620>,
  <"67B",7,32880,1881,34980>,
  <"68",8,31080,1276,33120>,
  <"68A",8,31140,1785,33180>,
  <"68B",8,34080,1468,36120>,
  <"69",2,34020,1628,36180>,
  <"69A",2,36060,1478,38220>,
  <"69B",2,36060,1498,38220>,
  <"70",9,32580,1119,34620>,
  <"70A",9,34920,1841,36960>,
  <"70B",9,34320,1389,36360>,
  <"71",1,33960,1371,36120>,
  <"71A",1,35940,1483,38100>,
  <"71B",1,36840,1294,39000>,
  <"72",1,34440,1685,36360>,
  <"72A",1,37980,1909,39900>,
  <"72B",1,35580,1213,37500>,
  <"73",5,35220,1238,37380>,
  <"73A",5,37380,2136,39540>,
  <"73B",5,38760,1663,40920>,
  <"74",5,36300,1265,38460>,
  <"74A",5,38100,1674,40260>,
  <"74B",5,37320,2135,39480>,
  <"75",9,34440,1605,36180>,
  <"75A",9,35820,1345,37560>,
  <"75B",9,36840,1096,38580>,
  <"76",5,36540,1831,38460>,
  <"76A",5,39180,1173,41100>,
  <"76B",5,39960,1730,41880>,
  <"77",3,35640,1281,37680>,
  <"77A",3,38520,1056,40560>,
  <"77B",3,38280,1565,40320>,
  <"78",6,36480,1538,38640>,
  <"78A",6,36660,1817,38820>,
  <"78B",6,38700,1121,40860>,
  <"79",5,38700,1713,40920>,
  <"79A",5,40320,1893,42540>,
  <"79B",5,39300,1913,41520>,
  <"80",5,35820,1571,37980>,
  <"80A",5,38520,1435,40680>,
  <"80B",5,38160,1938,40320>,
  <"81",2,36360,1443,38340>,
  <"81A",2,38280,1253,40260>,
  <"81B",2,37020,1384,39000>,
  <"82",1,38280,1718,40440>,
  <"82A",1,39900,1147,42060>,
  <"82B",1,38400,1403,40560>,
  <"83",3,39180,1705,41160>,
  <"83A",3,42660,1146,44640>,
  <"83B",3,42720,1078,44700>,
  <"84",9,39060,1556,40980>,
  <"84A",9,40140,1808,42060>,
  <"84B",9,39360,1802,41280>,
  <"85",1,39900,1282,42120>,
  <"85A",1,43260,1749,45480>,
  <"85B",1,42360,1766,44580>,
  <"86",7,40860,1454,42660>,
  <"86A",7,41220,961,43020>,
  <"86B",7,42420,1424,44220>,
  <"87",7,43080,1611,45000>,
  <"87A",7,46440,1507,48360>,
  <"87B",7,43380,1245,45300>,
  <"88",5,43380,1423,45420>,
  <"88A",5,44280,1980,46320>,
  <"88B",5,46800,1639,48840>,
  <"89",3,40920,1896,42840>,
  <"89A",3,41280,1823,43200>,
  <"89B",3,44460,1194,46380>,
  <"90",1,41580,1097,43620>,
  <"90A",1,41880,1920,43920>,
  <"90B",1,44160,1950,46200>,
  <"91",6,41280,1884,43260>,
  <"91A",6,44640,1450,46620>,
  <"91B",6,43860,1018,45840>,
  <"92",6,44640,1446,46800>,
  <"92A",6,45600,1877,47760>,
  <"92B",6,46800,1573,48960>,
  <"93",1,45180,1208,47220>,
  <"93A",1,46680,1208,48720>,
  <"93B",1,47100,1255,49140>,
  <"94",8,42960,1505,45180>,
  <"94A",8,45480,1288,47700>,
  <"94B",8,44100,1217,46320>,
  <"95",6,45300,1809,48060>,
  <"95A",6,48720,2376,51480>,
  <"95B",6,48720,2573,51480>,
  <"96",2,43080,1375,45120>,
  <"96A",2,46080,1802,48120>,
  <"96B",2,46320,1810,48360>,
  <"97",2,43620,1454,45780>,
  <"97A",2,46380,1787,48540>,
  <"97B",2,43620,1582,45780>,
  <"98",5,45360,960,47160>,
  <"98A",5,48000,1767,49800>,
  <"98B",5,47760,1270,49560>,
  <"99",9,44220,1168,46440>,
  <"99A",9,47400,1972,49620>,
  <"99B",9,45660,2160,47880>,
  <"100",9,44400,2003,46560>,
  <"100A",9,45180,1828,47340>,
  <"100B",9,45660,1353,47820>,
  <"101",1,46860,1246,48780>,
  <"101A",1,49980,1538,51900>,
  <"101B",1,49800,1104,51720>,
  <"102",6,49920,1409,51960>,
  <"102A",6,52260,1661,54300>,
  <"102B",6,50820,1784,52860>,
  <"103",1,48120,1603,50220>,
  <"103A",1,48120,2073,50220>,
  <"103B",1,49860,1132,51960>,
  <"104",3,51000,1705,53220>,
  <"104A",3,54000,1648,56220>,
  <"104B",3,53520,1567,55740>,
  <"105",7,50220,1892,52320>,
  <"105A",7,51960,1229,54060>,
  <"105B",7,52080,1520,54180>,
  <"106",3,50460,1962,52620>,
  <"106A",3,52800,1269,54960>,
  <"106B",3,52560,1805,54720>,
  <"107",6,48780,1303,50700>,
  <"107A",6,50700,1808,52620>,
  <"107B",6,52260,1300,54180>,
  <"108",2,49860,1732,51960>,
  <"108A",2,50340,1711,52440>,
  <"108B",2,53340,1729,55440>,
  <"109",5,49080,952,50940>,
  <"109A",5,50400,1383,52260>,
  <"109B",5,50100,1813,51960>,
  <"110",7,51780,1161,53640>,
  <"110A",7,54000,1194,55860>,
  <"110B",7,54120,943,55980>,
  <"111",3,51060,1704,53040>,
  <"111A",3,52020,1234,54000>,
  <"111B",3,53040,1537,55020>,
  <"112",2,53220,1666,55380>,
  <"112A",2,56580,1543,58740>,
  <"112B",2,53460,1209,55620>,
  <"113",2,54000,1837,55980>,
  <"113A",2,54360,1074,56340>,
  <"113B",2,57240,1762,59220>,
  <"114",5,56220,1765,58380>,
  <"114A",5,56640,1220,58800>,
  <"114B",5,56820,1969,58980>,
  <"115",6,54840,1243,56760>,
  <"115A",6,57360,1431,59280>,
  <"115B",6,56040,1461,57960>,
  <"116",6,55380,1770,57480>,
  <"116A",6,57300,1716,59400>,
  <"116B",6,58320,1459,60420>,
  <"117",2,54060,1484,56220>,
  <"117A",2,55260,1409,57420>,
  <"117B",2,56940,1118,59100>,
  <"118",2,56580,1531,58800>,
  <"118A",2,58140,1487,60360>,
  <"118B",2,58560,2107,60780>,
  <"119",7,58080,1590,60120>,
  <"119A",7,59580,1473,61620>,
  <"119B",7,61320,1662,63360>,
  <"120",6,57300,1129,59400>,
  <"120A",6,57780,1178,59880>,
  <"120B",6,58980,1956,61080>,
  <"121",9,56580,1605,58440>,
  <"121A",9,57540,1090,59400>,
  <"121B",9,59220,1100,61080>,
  <"122",1,58980,1307,60960>,
  <"122A",1,61800,1238,63780>,
  <"122B",1,62160,1910,64140>,
  <"123",7,60720,1570,62700>,
  <"123A",7,63180,1934,65160>,
  <"123B",7,63060,1215,65040>,
  <"124",2,59940,1253,61920>,
  <"124A",2,61320,1819,63300>,
  <"124B",2,59940,1856,61920>,
  <"125",6,58620,1871,60600>,
  <"125A",6,60480,1201,62460>,
  <"125B",6,59040,1301,61020>,
  <"126",2,60660,1882,62880>,
  <"126A",2,62220,2015,64440>,
  <"126B",2,60780,2169,63000>,
  <"127",5,58920,1535,60900>,
  <"127A",5,61260,1339,63240>,
  <"127B",5,59340,1217,61320>,
  <"128",2,61920,1774,63960>,
  <"128A",2,63420,1431,65460>,
  <"128B",2,62040,1810,64080>,
  <"129",5,60780,1506,62820>,
  <"129A",5,63540,1478,65580>,
  <"129B",5,63780,1784,65820>,
  <"130",8,60660,1113,62820>,
  <"130A",8,61680,2143,63840>,
  <"130B",8,63120,1506,65280>,
  <"131",1,60300,1176,62460>,
  <"131A",1,60600,1747,62760>,
  <"131B",1,62100,1184,64260>,
  <"132",2,60120,1230,62160>,
  <"132A",2,60300,1222,62340>,
  <"132B",2,61380,1933,63420>,
  <"133",9,62580,1201,64620>,
  <"133A",9,64380,1550,66420>,
  <"133B",9,64800,1278,66840>,
  <"134",7,62400,1723,64140>,
  <"134A",7,63780,1082,65520>,
  <"134B",7,64440,970,66180>,
  <"135",8,64200,2332,66780>,
  <"135A",8,65820,1787,68400>,
  <"135B",8,64260,1540,66840>,
  <"136",6,64860,1992,67020>,
  <"136A",6,66180,2113,68340>,
  <"136B",6,66600,2008,68760>,
  <"137",9,64500,1157,66720>,
  <"137A",9,67740,1581,69960>,
  <"137B",9,64920,1187,67140>,
  <"138",6,65220,1902,67440>,
  <"138A",6,65280,1221,67500>,
  <"138B",6,67140,1447,69360>,
  <"139",1,65880,2045,68040>,
  <"139A",1,67260,1744,69420>,
  <"139B",1,66900,1914,69060>,
  <"140",7,65700,1156,67500>,
  <"140A",7,67080,1347,68880>,
  <"140B",7,68460,1692,70260>,
  <"141",5,67500,1798,69540>,
  <"141A",5,70500,1493,72540>,
  <"141B",5,67500,1910,69540>,
  <"142",2,66840,1725,68580>,
  <"142A",2,68040,1605,69780>,
  <"142B",2,68760,1630,70500>,
  <"143",8,64980,1168,66960>,
  <"143A",8,66240,1950,68220>,
  <"143B",8,66360,1353,68340>,
  <"144",1,67440,1146,69480>,
  <"144A",1,67980,1214,70020>,
  <"144B",1,69300,1801,71340>,
  <"145",7,67860,1138,69900>,
  <"145A",7,69960,1411,72000>,
  <"145B",7,70320,1073,72360>,
  <"146",2,65760,951,67620>,
  <"146A",2,67200,1155,69060>,
  <"146B",2,66240,1523,68100>,
  <"147",1,66840,1867,68820>,
  <"147A",1,66900,1080,68880>,
  <"147B",1,69840,1889,71820>,
  <"148",1,69060,1400,71220>,
  <"148A",1,69480,1467,71640>,
  <"148B",1,71580,2028,73740>,
  <"149",1,69840,1896,72060>,
  <"149A",1,70380,1331,72600>,
  <"149B",1,73020,2001,75240>,
  <"150",6,68400,1423,70620>,
  <"150A",6,68700,1843,70920>,
  <"150B",6,70440,1141,72660>,
  <"151",1,71640,1414,73800>,
  <"151A",1,72900,1234,75060>,
  <"151B",1,73560,2035,75720>,
  <"152",8,70920,1733,73020>,
  <"152A",8,73560,1988,75660>,
  <"152B",8,73800,1374,75900>,
  <"153",2,71760,1623,73860>,
  <"153A",2,73080,1401,75180>,
  <"153B",2,72300,1907,74400>,
  <"154",1,71820,1357,73980>,
  <"154A",1,73560,1587,75720>,
  <"154B",1,73560,1499,75720>,
  <"155",1,74100,1302,76200>,
  <"155A",1,75420,1797,77520>,
  <"155B",1,74940,1881,77040>,
  <"156",7,73980,1861,76080>,
  <"156A",7,74160,1222,76260>,
  <"156B",7,74820,1509,76920>,
  <"157",1,73020,1315,75060>,
  <"157A",1,73440,1978,75480>,
  <"157B",1,76380,1826,78420>,
  <"158",1,73980,1375,76140>,
  <"158A",1,76860,1519,79020>,
  <"158B",1,74220,1800,76380>,
  <"159",7,74100,1751,76260>,
  <"159A",7,76620,1930,78780>,
  <"159B",7,76440,1921,78600>,
  <"160",6,75840,1332,77940>,
  <"160A",6,78660,2076,80760>,
  <"160B",6,76800,1735,78900>,
  <"161",7,75780,1496,77940>,
  <"161A",7,78420,1538,80580>,
  <"161B",7,76860,2034,79020>,
  <"162",6,73800,1211,75660>,
  <"162A",6,76020,1380,77880>,
  <"162B",6,74880,1251,76740>,
  <"163",1,74940,1214,77100>,
  <"163A",1,77640,2020,79800>,
  <"163B",1,76260,1195,78420>,
  <"164",1,77100,2183,79320>,
  <"164A",1,78540,1703,80760>,
  <"164B",1,78600,1915,80820>,
  <"165",9,76440,1829,78420>,
  <"165A",9,77460,1585,79440>,
  <"165B",9,77220,1065,79200>,
  <"166",5,76620,2166,78960>,
  <"166A",5,76800,1367,79140>,
  <"166B",5,79680,2038,82020>,
  <"167",3,77940,1740,80040>,
  <"167A",3,79260,1209,81360>,
  <"167B",3,79500,1684,81600>,
  <"168",2,78420,1731,80520>,
  <"168A",2,80160,1871,82260>,
  <"168B",2,78420,1350,80520>,
  <"169",6,80040,1316,81900>,
  <"169A",6,83160,989,85020>,
  <"169B",6,81900,1788,83760>,
  <"170",3,78360,1616,80340>,
  <"170A",3,79740,1779,81720>,
  <"170B",3,80460,1389,82440>,
  <"171",5,79260,1433,81420>,
  <"171A",5,80100,1260,82260>,
  <"171B",5,81480,1951,83640>,
  <"172",1,79500,1085,81660>,
  <"172A",1,81000,1549,83160>,
  <"172B",1,82260,1370,84420>,
  <"173",1,79740,1691,81900>,
  <"173A",1,80040,1901,82200>,
  <"173B",1,82740,1296,84900>,
  <"174",5,79740,1551,81900>,
  <"174A",5,81480,1713,83640>,
  <"174B",5,79860,1380,82020>,
  <"175",6,81120,1735,83160>,
  <"175A",6,83340,1139,85380>,
  <"175B",6,81840,1639,83880>,
  <"176",6,79800,1820,81960>,
  <"176A",6,80640,1444,82800>,
  <"176B",6,82980,2138,85140>,
  <"177",6,79740,1662,81960>,
  <"177A",6,81600,2083,83820>,
  <"177B",6,80940,1755,83160>,
  <"178",1,82620,2081,84780>,
  <"178A",1,85200,1983,87360>,
  <"178B",1,84780,2007,86940>,
  <"179",1,83280,2113,85500>,
  <"179A",1,84360,1322,86580>,
  <"179B",1,85800,1415,88020>,
  <"180",1,84120,1168,86280>,
  <"180A",1,84900,1483,87060>,
  <"180B",1,86220,1267,88380>,
  <"181",9,81540,1382,83460>,
  <"181A",9,83640,1386,85560>,
  <"181B",9,83220,1688,85140>,
  <"182",7,83700,1136,85500>,
  <"182A",7,85320,1477,87120>,
  <"182B",7,83880,1510,85680>,
  <"183",2,81960,1754,83880>,
  <"183A",2,84900,1872,86820>,
  <"183B",2,85080,1254,87000>,
  <"184",1,83820,1445,85860>,
  <"184A",1,84660,1481,86700>,
  <"184B",1,86640,1159,88680>,
  <"185",6,82500,1188,84660>,
  <"185A",6,84180,1090,86340>,
  <"185B",6,85380,1109,87540>,
  <"186",7,83940,1414,85800>,
  <"186A",7,84360,1119,86220>,
  <"186B",7,87240,1039,89100>,
  <"187",7,86040,1309,87900>,
  <"187A",7,88500,1108,90360>,
  <"187B",7,89400,1457,91260>,
  <"188",3,84360,1925,86400>,
  <"188A",3,84900,2039,86940>,
  <"188B",3,86220,1397,88260>,
  <"189",9,83880,1653,85980>,
  <"189A",9,84600,1431,86700>,
  <"189B",9,85980,1636,88080>,
  <"190",1,83580,1975,85800>,
  <"190A",1,85680,2007,87900>,
  <"190B",1,85740,1946,87960>,
  <"191",1,85440,1884,87600>,
  <"191A",1,88680,1088,90840>,
  <"191B",1,85440,1671,87600>,
  <"192",1,87000,1757,89160>,
  <"192A",1,88260,1530,90420>,
  <"192B",1,87660,1177,89820>,
  <"193",1,87120,1590,89160>,
  <"193A",1,90600,1521,92640>,
  <"193B",1,88860,1078,90900>,
  <"194",1,89400,2144,91680>,
  <"194A",1,92220,2108,94500>,
  <"194B",1,90360,1210,92640>,
  <"195",2,660,2029,30360>,
  <"195",2,29460,2029,35760>,
  <"195",3,660,2029,30360>,
  <"195",3,660,2029,35760>,
  <"195",3,29460,2029,35760>,
  <"195",10,660,2029,30360>,
  <"195",10,29460,2029,35760>,
  <"195",5,660,2029,30360>,
  <"195",5,29460,2029,35760>,
  <"195",8,660,2029,30360>,
  <"195",8,29460,2029,35760>,
  <"195A",2,2160,2657,31860>,
  <"195A",2,30960,2657,37260>,
  <"195A",3,2160,2657,31860>,
  <"195A",3,2160,2657,37260>,
  <"195A",3,30960,2657,37260>,
  <"195A",10,2160,2657,31860>,
  <"195A",10,30960,2657,37260>,
  <"195A",5,2160,2657,31860>,
  <"195A",5,30960,2657,37260>,
  <"195A",8,2160,2657,31860>,
  <"195A",8,30960,2657,37260>,
  <"195B",2,2220,2122,31920>,
  <"195B",2,31020,2122,37320>,
  <"195B",3,2220,2122,31920>,
  <"195B",3,2220,2122,37320>,
  <"195B",3,31020,2122,37320>,
  <"195B",10,2220,2122,31920>,
  <"195B",10,31020,2122,37320>,
  <"195B",5,2220,2122,31920>,
  <"195B",5,31020,2122,37320>,
  <"195B",8,2220,2122,31920>,
  <"195B",8,31020,2122,37320>,
  <"196",2,3360,1514,33060>,
  <"196",2,32160,1514,38460>,
  <"196",3,3360,1514,33060>,
  <"196",3,3360,1514,38460>,
  <"196",3,32160,1514,38460>,
  <"196",10,3360,1514,33060>,
  <"196",10,32160,1514,38460>,
  <"196",5,3360,1514,33060>,
  <"196",5,32160,1514,38460>,
  <"196",8,3360,1514,33060>,
  <"196",8,32160,1514,38460>,
  <"196A",2,5700,1779,35400>,
  <"196A",2,34500,1779,40800>,
  <"196A",3,5700,1779,35400>,
  <"196A",3,5700,1779,40800>,
  <"196A",3,34500,1779,40800>,
  <"196A",10,5700,1779,35400>,
  <"196A",10,34500,1779,40800>,
  <"196A",5,5700,1779,35400>,
  <"196A",5,34500,1779,40800>,
  <"196A",8,5700,1779,35400>,
  <"196A",8,34500,1779,40800>,
  <"196B",2,5520,1501,35220>,
  <"196B",2,34320,1501,40620>,
  <"196B",3,5520,1501,35220>,
  <"196B",3,5520,1501,40620>,
  <"196B",3,34320,1501,40620>,
  <"196B",10,5520,1501,35220>,
  <"196B",10,34320,1501,40620>,
  <"196B",5,5520,1501,35220>,
  <"196B",5,34320,1501,40620>,
  <"196B",8,5520,1501,35220>,
  <"196B",8,34320,1501,40620>,
  <"197",2,840,1811,30540>,
  <"197",2,29640,1811,35940>,
  <"197",3,840,1811,30540>,
  <"197",3,840,1811,35940>,
  <"197",3,29640,1811,35940>,
  <"197",10,840,1811,30540>,
  <"197",10,29640,1811,35940>,
  <"197",5,840,1811,30540>,
  <"197",5,29640,1811,35940>,
  <"197",8,840,1811,30540>,
  <"197",8,29640,1811,35940>,
  <"197A",2,4080,2379,33780>,
  <"197A",2,32880,2379,39180>,
  <"197A",3,4080,2379,33780>,
  <"197A",3,4080,2379,39180>,
  <"197A",3,32880,2379,39180>,
  <"197A",10,4080,2379,33780>,
  <"197A",10,32880,2379,39180>,
  <"197A",5,4080,2379,33780>,
  <"197A",5,32880,2379,39180>,
  <"197A",8,4080,2379,33780>,
  <"197A",8,32880,2379,39180>,
  <"197B",2,3360,1986,33060>,
  <"197B",2,32160,1986,38460>,
  <"197B",3,3360,1986,33060>,
  <"197B",3,3360,1986,38460>,
  <"197B",3,32160,1986,38460>,
  <"197B",10,3360,1986,33060>,
  <"197B",10,32160,1986,38460>,
  <"197B",5,3360,1986,33060>,
  <"197B",5,32160,1986,38460>,
  <"197B",8,3360,1986,33060>,
  <"197B",8,32160,1986,38460>,
  <"198",2,1380,1689,31080>,
  <"198",2,30180,1689,36480>,
  <"198",3,1380,1689,31080>,
  <"198",3,1380,1689,36480>,
  <"198",3,30180,1689,36480>,
  <"198",10,1380,1689,31080>,
  <"198",10,30180,1689,36480>,
  <"198",5,1380,1689,31080>,
  <"198",5,30180,1689,36480>,
  <"198",8,1380,1689,31080>,
  <"198",8,30180,1689,36480>,
  <"198A",2,4680,1760,34380>,
  <"198A",2,33480,1760,39780>,
  <"198A",3,4680,1760,34380>,
  <"198A",3,4680,1760,39780>,
  <"198A",3,33480,1760,39780>,
  <"198A",10,4680,1760,34380>,
  <"198A",10,33480,1760,39780>,
  <"198A",5,4680,1760,34380>,
  <"198A",5,33480,1760,39780>,
  <"198A",8,4680,1760,34380>,
  <"198A",8,33480,1760,39780>,
  <"198B",2,3420,1923,33120>,
  <"198B",2,32220,1923,38520>,
  <"198B",3,3420,1923,33120>,
  <"198B",3,3420,1923,38520>,
  <"198B",3,32220,1923,38520>,
  <"198B",10,3420,1923,33120>,
  <"198B",10,32220,1923,38520>,
  <"198B",5,3420,1923,33120>,
  <"198B",5,32220,1923,38520>,
  <"198B",8,3420,1923,33120>,
  <"198B",8,32220,1923,38520>,
  <"199",11,3180,1581,4980>,
  <"199",6,3180,1581,4980>,
  <"199",7,3180,1581,4980>,
  <"199",9,3180,1581,4980>,
  <"199A",11,6300,1327,8100>,
  <"199A",6,6300,1327,8100>,
  <"199A",7,6300,1327,8100>,
  <"199A",9,6300,1327,8100>,
  <"199B",11,5040,1021,6840>,
  <"199B",6,5040,1021,6840>,
  <"199B",7,5040,1021,6840>,
  <"199B",9,5040,1021,6840>,
  <"200",1,1620,10540,13320>,
  <"200",11,1620,10540,13320>,
  <"200",13,1620,10540,13320>,
  <"200",5,1620,10540,13320>,
  <"200",6,1620,10540,13320>,
  <"200",8,1620,10540,13320>,
  <"200A",1,3960,11251,15660>,
  <"200A",11,3960,11251,15660>,
  <"200A",13,3960,11251,15660>,
  <"200A",5,3960,11251,15660>,
