# INSTANCE: InstancesTDTSP/inst_100_18_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
149 6197
158 6405
189 6623
148 7089
191 7397
65 7841
122 8260
52 8682
45 9183
123 9514
61 9879
242 9978
243 10282
49 10561
167 11056
152 11354
150 11673
163 11980
188 12127
160 12330
146 12774
153 13179
161 13376
190 13851
192 14217
208 14644
213 15001
221 15472
240 15898
226 16031
241 16584
132 16696
66 17098
205 17508
209 17803
211 18072
129 18357
34 18813
217 19192
254 19362
216 19670
220 19955
251 20046
119 20314
28 20683
25 20973
245 21294
244 21500
236 21728
246 21973
201 22244
198 22832
93 23480
90 23666
92 24028
99 24245
124 24604
60 25087
159 25569
228 26270
41 26862
50 27113
88 27851
96 28493
91 28985
89 29483
207 30617
68 31190
224 31912
8 32681
9 32953
115 33072
14 33347
12 33532
194 33903
239 34226
111 34717
106 35151
137 35725
6 36544
107 36919
1 37239
114 37741
18 38672
179 39394
# BEST TD SOLUTION: 40178
