Stations = {
  <"POGO", 1, 13>,  // station name, station id, number of antennas
  <"198B",3,3420,1923,38520>,
  <"198B",3,32220,1923,38520>,
  <"198B",10,3420,1923,33120>,
  <"198B",10,32220,1923,38520>,
  <"198B",5,3420,1923,33120>,
  <"198B",5,32220,1923,38520>,
  <"198B",8,3420,1923,33120>,
  <"198B",8,32220,1923,38520>,
  <"199",11,3180,1581,4980>,
  <"199",6,3180,1581,4980>,
  <"199",7,3180,1581,4980>,
  <"199",9,3180,1581,4980>,
  <"199A",11,6300,1327,8100>,
  <"199A",6,6300,1327,8100>,
  <"199A",7,6300,1327,8100>,
  <"199A",9,6300,1327,8100>,
  <"199B",11,5040,1021,6840>,
  <"199B",6,5040,1021,6840>,
  <"199B",7,5040,1021,6840>,
  <"199B",9,5040,1021,6840>,
  <"200",1,1620,10540,13320>,
  <"200",11,1620,10540,13320>,
  <"200",13,1620,10540,13320>,
  <"200",5,1620,10540,13320>,
  <"200",6,1620,10540,13320>,
  <"200",8,1620,10540,13320>,
  <"200A",1,3960,11251,15660>,
  <"200A",11,3960,11251,15660>,
  <"200A",13,3960,11251,15660>,
  <"200A",5,3960,11251,15660>,
  <"200A",6,3960,11251,15660>,
  <"200A",8,3960,11251,15660>,
  <"200B",1,3060,10773,14760>,
  <"200B",11,3060,10773,14760>,
  <"200B",13,3060,10773,14760>,
  <"200B",5,3060,10773,14760>,
  <"200B",6,3060,10773,14760>,
  <"200B",8,3060,10773,14760>,
  <"201",5,4080,829,8880>,
  <"201",6,4080,829,8880>,
  <"201",8,4080,829,8880>,
  <"201A",5,6060,959,10860>,
  <"201A",6,6060,959,10860>,
  <"201A",8,6060,959,10860>,
  <"201B",5,7620,1117,12420>,
  <"201B",6,7620,1117,12420>,
  <"201B",8,7620,1117,12420>,
  <"202",10,1440,1241,4740>,
  <"202",6,1440,1241,4740>,
  <"202",9,1440,1241,4740>,
  <"202A",10,3720,1100,7020>,
  <"202A",6,3720,1100,7020>,
  <"202A",9,3720,1100,7020>,
  <"202B",10,4740,1295,8040>,
  <"202B",6,4740,1295,8040>,
  <"202B",9,4740,1295,8040>,
  <"203",1,2400,680,7200>,
  <"203",10,2400,680,7200>,
  <"203",5,2400,680,7200>,
  <"203",6,2400,680,7200>,
  <"203",8,2400,680,7200>,
  <"203A",1,3480,803,8280>,
  <"203A",10,3480,803,8280>,
  <"203A",5,3480,803,8280>,
  <"203A",6,3480,803,8280>,
  <"203A",8,3480,803,8280>,
  <"203B",1,2820,752,7620>,
  <"203B",10,2820,752,7620>,
  <"203B",5,2820,752,7620>,
  <"203B",6,2820,752,7620>,
  <"203B",8,2820,752,7620>,
  <"204",7,2400,1258,9300>,
  <"204",9,2400,1258,9300>,
  <"204A",7,2700,1008,9600>,
  <"204A",9,2700,1008,9600>,
  <"204B",7,2880,1327,9780>,
  <"204B",9,2880,1327,9780>,
  <"205",7,4800,1538,9000>,
  <"205",9,4800,1538,9000>,
  <"205A",7,7320,2257,11520>,
  <"205A",9,7320,2257,11520>,
  <"205B",7,8340,1629,12540>,
  <"205B",9,8340,1629,12540>,
  <"206",1,4860,994,7860>,
  <"206",2,4860,994,7860>,
  <"206",3,4860,994,7860>,
  <"206",13,4860,994,7860>,
  <"206",5,4860,994,7860>,
  <"206",6,4860,994,7860>,
  <"206",7,4860,994,7860>,
  <"206",8,4860,994,7860>,
  <"206A",1,6780,1026,9780>,
  <"206A",2,6780,1026,9780>,
  <"206A",3,6780,1026,9780>,
  <"206A",13,6780,1026,9780>,
  <"206A",5,6780,1026,9780>,
  <"206A",6,6780,1026,9780>,
  <"206A",7,6780,1026,9780>,
  <"206A",8,6780,1026,9780>,
  <"206B",1,8340,1026,11340>,
  <"206B",2,8340,1026,11340>,
  <"206B",3,8340,1026,11340>,
  <"206B",13,8340,1026,11340>,
  <"206B",5,8340,1026,11340>,
  <"206B",6,8340,1026,11340>,
  <"206B",7,8340,1026,11340>,
  <"206B",8,8340,1026,11340>,
  <"207",7,6180,1401,9180>,
  <"207",9,6180,1401,9180>,
  <"207A",7,6780,991,9780>,
  <"207A",9,6780,991,9780>,
  <"207B",7,8940,1608,11940>,
  <"207B",9,8940,1608,11940>,
  <"208",2,5880,1302,10380>,
  <"208",3,5880,1302,10380>,
  <"208",7,5880,1302,10380>,
  <"208A",2,8640,1483,13140>,
  <"208A",3,8640,1483,13140>,
  <"208A",7,8640,1483,13140>,
  <"208B",2,8400,1400,12900>,
  <"208B",3,8400,1400,12900>,
  <"208B",7,8400,1400,12900>,
  <"209",10,4080,1133,8880>,
  <"209",5,4080,1133,8880>,
  <"209",6,4080,1133,8880>,
  <"209",9,4080,1133,8880>,
  <"209A",10,6660,1123,11460>,
  <"209A",5,6660,1123,11460>,
  <"209A",6,6660,1123,11460>,
  <"209A",9,6660,1123,11460>,
  <"209B",10,7140,667,11940>,
  <"209B",5,7140,667,11940>,
  <"209B",6,7140,667,11940>,
  <"209B",9,7140,667,11940>,
  <"210",6,5580,2524,10080>,
  <"210",9,5580,2524,10080>,
  <"210A",6,6780,3267,11280>,
  <"210A",9,6780,3267,11280>,
  <"210B",6,7020,3402,11520>,
  <"210B",9,7020,3402,11520>,
  <"211",3,4860,1190,9660>,
  <"211",5,4860,1190,9660>,
  <"211",6,4860,1190,9660>,
  <"211",8,4860,1190,9660>,
  <"211A",3,7260,742,12060>,
  <"211A",5,7260,742,12060>,
  <"211A",6,7260,742,12060>,
  <"211A",8,7260,742,12060>,
  <"211B",3,8100,1014,12900>,
  <"211B",5,8100,1014,12900>,
  <"211B",6,8100,1014,12900>,
  <"211B",8,8100,1014,12900>,
  <"212",1,9060,4484,18360>,
  <"212",5,9060,4484,18360>,
  <"212",6,9060,4484,18360>,
  <"212",9,9060,4484,18360>,
  <"212A",1,9480,3018,18780>,
  <"212A",5,9480,3018,18780>,
  <"212A",6,9480,3018,18780>,
  <"212A",9,9480,3018,18780>,
  <"212B",1,10620,4174,19920>,
  <"212B",5,10620,4174,19920>,
  <"212B",6,10620,4174,19920>,
  <"212B",9,10620,4174,19920>,
  <"213",10,7920,725,12720>,
  <"213",6,7920,725,12720>,
  <"213",9,7920,725,12720>,
  <"213A",10,10920,711,15720>,
  <"213A",6,10920,711,15720>,
  <"213A",9,10920,711,15720>,
  <"213B",10,8760,785,13560>,
  <"213B",6,8760,785,13560>,
  <"213B",9,8760,785,13560>,
  <"214",1,6540,1153,9240>,
  <"214",3,6540,1153,9240>,
  <"214",5,6540,1153,9240>,
  <"214",6,6540,1153,9240>,
  <"214",8,6540,1153,9240>,
};
