STATION|NAMES, name, id, nbAntennas
STATION|KEYS, 0, 1, 0
STATION, POGO, 1, 13
STATION, HULA, 2, 7
STATION, COOK, 3, 12
STATION, INDI, 4, 2
STATION, BOSS, 5, 10
STATION, LION, 6, 9
STATION, GUAM, 7, 5
STATION, PIKE, 8, 6
STATION, REEF, 9, 1
STATION, HAWK, 10, 10
STATION, DICE, 11, 7
STATION, EVCF, 12, 10
STATION, SUN3, 13, 5

ALTERNATIVE|NAMES, taskName, stationId, startMin, duration, endMax
ALTERNATIVE, 30, 7, 15060, 1029, 16980
ALTERNATIVE, 30A, 7, 16740, 1409, 18660
ALTERNATIVE, 30B, 7, 15720, 1796, 17640
ALTERNATIVE, 31, 2, 16020, 1859, 18180
ALTERNATIVE, 31A, 2, 19380, 1106, 21540
ALTERNATIVE, 31B, 2, 17100, 1303, 19260
ALTERNATIVE, 32, 9, 16260, 1835, 18360
ALTERNATIVE, 32A, 9, 17460, 2082, 19560
ALTERNATIVE, 32B, 9, 18240, 1988, 20340
ALTERNATIVE, 33, 1, 18000, 2160, 20160
ALTERNATIVE, 33A, 1, 19500, 1458, 21660
ALTERNATIVE, 33B, 1, 20820, 2048, 22980
ALTERNATIVE, 34, 1, 19140, 1266, 21300
ALTERNATIVE, 34A, 1, 19920, 2104, 22080
ALTERNATIVE, 34B, 1, 19380, 1183, 21540
ALTERNATIVE, 35, 3, 18300, 1814, 20220
ALTERNATIVE, 35A, 3, 19800, 1369, 21720
ALTERNATIVE, 35B, 3, 18420, 1781, 20340
ALTERNATIVE, 36, 6, 19500, 1185, 21720
ALTERNATIVE, 36A, 6, 19560, 1411, 21780
ALTERNATIVE, 36B, 6, 22500, 1552, 24720
ALTERNATIVE, 37, 1, 21240, 1431, 23280
ALTERNATIVE, 37A, 1, 22260, 1211, 24300
ALTERNATIVE, 37B, 1, 24720, 1663, 26760
ALTERNATIVE, 38, 6, 18240, 1201, 20400
ALTERNATIVE, 38A, 6, 21120, 1347, 23280
ALTERNATIVE, 38B, 6, 20580, 1196, 22740
ALTERNATIVE, 39, 5, 19080, 1619, 21180
ALTERNATIVE, 39A, 5, 21600, 1376, 23700
ALTERNATIVE, 39B, 5, 20820, 1700, 22920
ALTERNATIVE, 40, 5, 22140, 1952, 24120
ALTERNATIVE, 40A, 5, 22380, 1089, 24360
ALTERNATIVE, 40B, 5, 24240, 1131, 26220
ALTERNATIVE, 41, 1, 21000, 1453, 23100
ALTERNATIVE, 41A, 1, 21780, 1902, 23880
ALTERNATIVE, 41B, 1, 22860, 2009, 24960
ALTERNATIVE, 42, 1, 21960, 1564, 23880
ALTERNATIVE, 42A, 1, 25140, 1512, 27060
ALTERNATIVE, 42B, 1, 22080, 1450, 24000
ALTERNATIVE, 43, 1, 25380, 1971, 27600
ALTERNATIVE, 43A, 1, 26400, 1664, 28620
ALTERNATIVE, 43B, 1, 27660, 1143, 29880
ALTERNATIVE, 44, 9, 23040, 1416, 25080
ALTERNATIVE, 44A, 9, 25500, 1749, 27540
ALTERNATIVE, 44B, 9, 23040, 1277, 25080
ALTERNATIVE, 45, 3, 23820, 1486, 25500
ALTERNATIVE, 45A, 3, 25320, 1315, 27000
ALTERNATIVE, 45B, 3, 25320, 1507, 27000
ALTERNATIVE, 46, 1, 25980, 1214, 28200
ALTERNATIVE, 46A, 1, 28260, 1607, 30480
ALTERNATIVE, 46B, 1, 26760, 1196, 28980
ALTERNATIVE, 47, 5, 23820, 1021, 25860
ALTERNATIVE, 47A, 5, 24540, 1493, 26580
ALTERNATIVE, 47B, 5, 25500, 1734, 27540
ALTERNATIVE, 48, 1, 26820, 1213, 29100
ALTERNATIVE, 48A, 1, 28680, 1875, 30960
ALTERNATIVE, 48B, 1, 29100, 2163, 31380
ALTERNATIVE, 49, 1, 26700, 1614, 28680
ALTERNATIVE, 49A, 1, 29220, 1439, 31200
ALTERNATIVE, 49B, 1, 27780, 1936, 29760
ALTERNATIVE, 50, 3, 26220, 1335, 28260
ALTERNATIVE, 50A, 3, 27360, 1743, 29400
ALTERNATIVE, 50B, 3, 26760, 1516, 28800
ALTERNATIVE, 51, 6, 24600, 1487, 26700
ALTERNATIVE, 51A, 6, 26700, 2075, 28800
ALTERNATIVE, 51B, 6, 26220, 1409, 28320
ALTERNATIVE, 52, 5, 26700, 1289, 28920
ALTERNATIVE, 52A, 5, 29760, 2154, 31980
ALTERNATIVE, 52B, 5, 30180, 1956, 32400
ALTERNATIVE, 53, 8, 26460, 1552, 28380
ALTERNATIVE, 53A, 8, 28620, 1827, 30540
ALTERNATIVE, 53B, 8, 28560, 1271, 30480
ALTERNATIVE, 54, 2, 26880, 1335, 29040
ALTERNATIVE, 54A, 2, 27840, 1721, 30000
ALTERNATIVE, 54B, 2, 30060, 2018, 32220
ALTERNATIVE, 55, 7, 27960, 1941, 30120
ALTERNATIVE, 55A, 7, 31080, 1583, 33240
ALTERNATIVE, 55B, 7, 29880, 1094, 32040
ALTERNATIVE, 56, 5, 27420, 1247, 29400
ALTERNATIVE, 56A, 5, 30000, 1248, 31980
ALTERNATIVE, 56B, 5, 30840, 1113, 32820
ALTERNATIVE, 57, 6, 27780, 1407, 29640
ALTERNATIVE, 57A, 6, 30480, 1601, 32340
ALTERNATIVE, 57B, 6, 30600, 1654, 32460
ALTERNATIVE, 58, 6, 29220, 1896, 31500
ALTERNATIVE, 58A, 6, 30840, 2128, 33120
ALTERNATIVE, 58B, 6, 31560, 1788, 33840
ALTERNATIVE, 59, 2, 28440, 1028, 30180
ALTERNATIVE, 59A, 2, 31500, 1316, 33240
ALTERNATIVE, 59B, 2, 30300, 1383, 32040
ALTERNATIVE, 60, 1, 31380, 1483, 33600
ALTERNATIVE, 60A, 1, 32760, 1502, 34980
ALTERNATIVE, 60B, 1, 34380, 1702, 36600
ALTERNATIVE, 61, 5, 29880, 1184, 31860
ALTERNATIVE, 61A, 5, 31380, 1284, 33360
ALTERNATIVE, 61B, 5, 32580, 1016, 34560
ALTERNATIVE, 62, 9, 30240, 1672, 32280
ALTERNATIVE, 62A, 9, 33360, 1764, 35400
ALTERNATIVE, 62B, 9, 31980, 1240, 34020
ALTERNATIVE, 63, 6, 29700, 1494, 31440
ALTERNATIVE, 63A, 6, 31500, 917, 33240
ALTERNATIVE, 63B, 6, 30240, 1062, 31980
ALTERNATIVE, 64, 1, 30900, 1910, 32820
ALTERNATIVE, 64A, 1, 32760, 1060, 34680
ALTERNATIVE, 64B, 1, 33360, 1669, 35280
ALTERNATIVE, 65, 1, 30840, 1423, 33060
ALTERNATIVE, 65A, 1, 32040, 2188, 34260
ALTERNATIVE, 65B, 1, 33120, 1774, 35340
ALTERNATIVE, 66, 5, 32760, 1630, 34740
ALTERNATIVE, 66A, 5, 35160, 1964, 37140
ALTERNATIVE, 66B, 5, 33540, 991, 35520
ALTERNATIVE, 67, 7, 31200, 1158, 33300
ALTERNATIVE, 67A, 7, 32520, 1832, 34620
ALTERNATIVE, 67B, 7, 32880, 1881, 34980
ALTERNATIVE, 68, 8, 31080, 1276, 33120
ALTERNATIVE, 68A, 8, 31140, 1785, 33180
ALTERNATIVE, 68B, 8, 34080, 1468, 36120
ALTERNATIVE, 69, 2, 34020, 1628, 36180
ALTERNATIVE, 69A, 2, 36060, 1478, 38220
ALTERNATIVE, 69B, 2, 36060, 1498, 38220
ALTERNATIVE, 70, 9, 32580, 1119, 34620
ALTERNATIVE, 70A, 9, 34920, 1841, 36960
ALTERNATIVE, 70B, 9, 34320, 1389, 36360
ALTERNATIVE, 71, 1, 33960, 1371, 36120
ALTERNATIVE, 71A, 1, 35940, 1483, 38100
ALTERNATIVE, 71B, 1, 36840, 1294, 39000
ALTERNATIVE, 72, 1, 34440, 1685, 36360
ALTERNATIVE, 72A, 1, 37980, 1909, 39900
ALTERNATIVE, 72B, 1, 35580, 1213, 37500
ALTERNATIVE, 73, 5, 35220, 1238, 37380
ALTERNATIVE, 73A, 5, 37380, 2136, 39540
ALTERNATIVE, 73B, 5, 38760, 1663, 40920
ALTERNATIVE, 74, 5, 36300, 1265, 38460
ALTERNATIVE, 74A, 5, 38100, 1674, 40260
ALTERNATIVE, 74B, 5, 37320, 2135, 39480
ALTERNATIVE, 75, 9, 34440, 1605, 36180
ALTERNATIVE, 75A, 9, 35820, 1345, 37560
ALTERNATIVE, 75B, 9, 36840, 1096, 38580
ALTERNATIVE, 76, 5, 36540, 1831, 38460
ALTERNATIVE, 76A, 5, 39180, 1173, 41100
ALTERNATIVE, 76B, 5, 39960, 1730, 41880
ALTERNATIVE, 77, 3, 35640, 1281, 37680
ALTERNATIVE, 77A, 3, 38520, 1056, 40560
ALTERNATIVE, 77B, 3, 38280, 1565, 40320
ALTERNATIVE, 78, 6, 36480, 1538, 38640
ALTERNATIVE, 78A, 6, 36660, 1817, 38820
ALTERNATIVE, 78B, 6, 38700, 1121, 40860
ALTERNATIVE, 79, 5, 38700, 1713, 40920
ALTERNATIVE, 79A, 5, 40320, 1893, 42540
ALTERNATIVE, 79B, 5, 39300, 1913, 41520
ALTERNATIVE, 80, 5, 35820, 1571, 37980
ALTERNATIVE, 80A, 5, 38520, 1435, 40680
ALTERNATIVE, 80B, 5, 38160, 1938, 40320
ALTERNATIVE, 81, 2, 36360, 1443, 38340
ALTERNATIVE, 81A, 2, 38280, 1253, 40260
ALTERNATIVE, 81B, 2, 37020, 1384, 39000
ALTERNATIVE, 82, 1, 38280, 1718, 40440
ALTERNATIVE, 82A, 1, 39900, 1147, 42060
ALTERNATIVE, 82B, 1, 38400, 1403, 40560
ALTERNATIVE, 83, 3, 39180, 1705, 41160
ALTERNATIVE, 83A, 3, 42660, 1146, 44640
ALTERNATIVE, 83B, 3, 42720, 1078, 44700
ALTERNATIVE, 84, 9, 39060, 1556, 40980
ALTERNATIVE, 84A, 9, 40140, 1808, 42060
ALTERNATIVE, 84B, 9, 39360, 1802, 41280
ALTERNATIVE, 85, 1, 39900, 1282, 42120
ALTERNATIVE, 85A, 1, 43260, 1749, 45480
ALTERNATIVE, 85B, 1, 42360, 1766, 44580
ALTERNATIVE, 86, 7, 40860, 1454, 42660
ALTERNATIVE, 86A, 7, 41220, 961, 43020
ALTERNATIVE, 86B, 7, 42420, 1424, 44220
ALTERNATIVE, 87, 7, 43080, 1611, 45000
ALTERNATIVE, 87A, 7, 46440, 1507, 48360
ALTERNATIVE, 87B, 7, 43380, 1245, 45300
ALTERNATIVE, 88, 5, 43380, 1423, 45420
ALTERNATIVE, 88A, 5, 44280, 1980, 46320
ALTERNATIVE, 88B, 5, 46800, 1639, 48840
ALTERNATIVE, 89, 3, 40920, 1896, 42840
ALTERNATIVE, 89A, 3, 41280, 1823, 43200
ALTERNATIVE, 89B, 3, 44460, 1194, 46380
ALTERNATIVE, 90, 1, 41580, 1097, 43620
ALTERNATIVE, 90A, 1, 41880, 1920, 43920
ALTERNATIVE, 90B, 1, 44160, 1950, 46200
ALTERNATIVE, 91, 6, 41280, 1884, 43260
ALTERNATIVE, 91A, 6, 44640, 1450, 46620
ALTERNATIVE, 91B, 6, 43860, 1018, 45840
ALTERNATIVE, 92, 6, 44640, 1446, 46800
ALTERNATIVE, 92A, 6, 45600, 1877, 47760
ALTERNATIVE, 92B, 6, 46800, 1573, 48960
ALTERNATIVE, 93, 1, 45180, 1208, 47220
ALTERNATIVE, 93A, 1, 46680, 1208, 48720
ALTERNATIVE, 93B, 1, 47100, 1255, 49140
ALTERNATIVE, 94, 8, 42960, 1505, 45180
ALTERNATIVE, 94A, 8, 45480, 1288, 47700
ALTERNATIVE, 94B, 8, 44100, 1217, 46320
ALTERNATIVE, 95, 6, 45300, 1809, 48060
ALTERNATIVE, 95A, 6, 48720, 2376, 51480
ALTERNATIVE, 95B, 6, 48720, 2573, 51480
ALTERNATIVE, 96, 2, 43080, 1375, 45120
ALTERNATIVE, 96A, 2, 46080, 1802, 48120
ALTERNATIVE, 96B, 2, 46320, 1810, 48360
ALTERNATIVE, 97, 2, 43620, 1454, 45780
ALTERNATIVE, 97A, 2, 46380, 1787, 48540
ALTERNATIVE, 97B, 2, 43620, 1582, 45780
ALTERNATIVE, 98, 5, 45360, 960, 47160
ALTERNATIVE, 98A, 5, 48000, 1767, 49800
ALTERNATIVE, 98B, 5, 47760, 1270, 49560
ALTERNATIVE, 99, 9, 44220, 1168, 46440
ALTERNATIVE, 99A, 9, 47400, 1972, 49620
ALTERNATIVE, 99B, 9, 45660, 2160, 47880
ALTERNATIVE, 100, 9, 44400, 2003, 46560
ALTERNATIVE, 100A, 9, 45180, 1828, 47340
ALTERNATIVE, 100B, 9, 45660, 1353, 47820
ALTERNATIVE, 101, 1, 46860, 1246, 48780
ALTERNATIVE, 101A, 1, 49980, 1538, 51900
ALTERNATIVE, 101B, 1, 49800, 1104, 51720
ALTERNATIVE, 102, 6, 49920, 1409, 51960
ALTERNATIVE, 102A, 6, 52260, 1661, 54300
ALTERNATIVE, 102B, 6, 50820, 1784, 52860
ALTERNATIVE, 103, 1, 48120, 1603, 50220
ALTERNATIVE, 103A, 1, 48120, 2073, 50220
ALTERNATIVE, 103B, 1, 49860, 1132, 51960
ALTERNATIVE, 104, 3, 51000, 1705, 53220
ALTERNATIVE, 104A, 3, 54000, 1648, 56220
ALTERNATIVE, 104B, 3, 53520, 1567, 55740
ALTERNATIVE, 105, 7, 50220, 1892, 52320
ALTERNATIVE, 105A, 7, 51960, 1229, 54060
ALTERNATIVE, 105B, 7, 52080, 1520, 54180
ALTERNATIVE, 106, 3, 50460, 1962, 52620
ALTERNATIVE, 106A, 3, 52800, 1269, 54960
ALTERNATIVE, 106B, 3, 52560, 1805, 54720
ALTERNATIVE, 107, 6, 48780, 1303, 50700
ALTERNATIVE, 107A, 6, 50700, 1808, 52620
ALTERNATIVE, 107B, 6, 52260, 1300, 54180
ALTERNATIVE, 108, 2, 49860, 1732, 51960
ALTERNATIVE, 108A, 2, 50340, 1711, 52440
ALTERNATIVE, 108B, 2, 53340, 1729, 55440
ALTERNATIVE, 109, 5, 49080, 952, 50940
ALTERNATIVE, 109A, 5, 50400, 1383, 52260
ALTERNATIVE, 109B, 5, 50100, 1813, 51960
ALTERNATIVE, 110, 7, 51780, 1161, 53640
ALTERNATIVE, 110A, 7, 54000, 1194, 55860
ALTERNATIVE, 110B, 7, 54120, 943, 55980
ALTERNATIVE, 111, 3, 51060, 1704, 53040
ALTERNATIVE, 111A, 3, 52020, 1234, 54000
ALTERNATIVE, 111B, 3, 53040, 1537, 55020
ALTERNATIVE, 112, 2, 53220, 1666, 55380
ALTERNATIVE, 112A, 2, 56580, 1543, 58740
ALTERNATIVE, 112B, 2, 53460, 1209, 55620
ALTERNATIVE, 113, 2, 54000, 1837, 55980
ALTERNATIVE, 113A, 2, 54360, 1074, 56340
ALTERNATIVE, 113B, 2, 57240, 1762, 59220
ALTERNATIVE, 114, 5, 56220, 1765, 58380
ALTERNATIVE, 114A, 5, 56640, 1220, 58800
ALTERNATIVE, 114B, 5, 56820, 1969, 58980
ALTERNATIVE, 115, 6, 54840, 1243, 56760
ALTERNATIVE, 115A, 6, 57360, 1431, 59280
ALTERNATIVE, 115B, 6, 56040, 1461, 57960
ALTERNATIVE, 116, 6, 55380, 1770, 57480
ALTERNATIVE, 116A, 6, 57300, 1716, 59400
ALTERNATIVE, 116B, 6, 58320, 1459, 60420
ALTERNATIVE, 117, 2, 54060, 1484, 56220
ALTERNATIVE, 117A, 2, 55260, 1409, 57420
ALTERNATIVE, 117B, 2, 56940, 1118, 59100
ALTERNATIVE, 118, 2, 56580, 1531, 58800
ALTERNATIVE, 118A, 2, 58140, 1487, 60360
ALTERNATIVE, 118B, 2, 58560, 2107, 60780
ALTERNATIVE, 119, 7, 58080, 1590, 60120
ALTERNATIVE, 119A, 7, 59580, 1473, 61620
ALTERNATIVE, 119B, 7, 61320, 1662, 63360
ALTERNATIVE, 120, 6, 57300, 1129, 59400
ALTERNATIVE, 120A, 6, 57780, 1178, 59880
ALTERNATIVE, 120B, 6, 58980, 1956, 61080
ALTERNATIVE, 121, 9, 56580, 1605, 58440
ALTERNATIVE, 121A, 9, 57540, 1090, 59400
ALTERNATIVE, 121B, 9, 59220, 1100, 61080
ALTERNATIVE, 122, 1, 58980, 1307, 60960
ALTERNATIVE, 122A, 1, 61800, 1238, 63780
ALTERNATIVE, 122B, 1, 62160, 1910, 64140
ALTERNATIVE, 123, 7, 60720, 1570, 62700
ALTERNATIVE, 123A, 7, 63180, 1934, 65160
ALTERNATIVE, 123B, 7, 63060, 1215, 65040
ALTERNATIVE, 124, 2, 59940, 1253, 61920
ALTERNATIVE, 124A, 2, 61320, 1819, 63300
ALTERNATIVE, 124B, 2, 59940, 1856, 61920
ALTERNATIVE, 125, 6, 58620, 1871, 60600
ALTERNATIVE, 125A, 6, 60480, 1201, 62460
ALTERNATIVE, 125B, 6, 59040, 1301, 61020
ALTERNATIVE, 126, 2, 60660, 1882, 62880
ALTERNATIVE, 126A, 2, 62220, 2015, 64440
ALTERNATIVE, 126B, 2, 60780, 2169, 63000
ALTERNATIVE, 127, 5, 58920, 1535, 60900
ALTERNATIVE, 127A, 5, 61260, 1339, 63240
ALTERNATIVE, 127B, 5, 59340, 1217, 61320
ALTERNATIVE, 128, 2, 61920, 1774, 63960
ALTERNATIVE, 128A, 2, 63420, 1431, 65460
ALTERNATIVE, 128B, 2, 62040, 1810, 64080
ALTERNATIVE, 129, 5, 60780, 1506, 62820
ALTERNATIVE, 129A, 5, 63540, 1478, 65580
ALTERNATIVE, 129B, 5, 63780, 1784, 65820
ALTERNATIVE, 130, 8, 60660, 1113, 62820
ALTERNATIVE, 130A, 8, 61680, 2143, 63840
ALTERNATIVE, 130B, 8, 63120, 1506, 65280
ALTERNATIVE, 131, 1, 60300, 1176, 62460
ALTERNATIVE, 131A, 1, 60600, 1747, 62760
ALTERNATIVE, 131B, 1, 62100, 1184, 64260
ALTERNATIVE, 132, 2, 60120, 1230, 62160
ALTERNATIVE, 132A, 2, 60300, 1222, 62340
ALTERNATIVE, 132B, 2, 61380, 1933, 63420
ALTERNATIVE, 133, 9, 62580, 1201, 64620
ALTERNATIVE, 133A, 9, 64380, 1550, 66420
ALTERNATIVE, 133B, 9, 64800, 1278, 66840
ALTERNATIVE, 134, 7, 62400, 1723, 64140
ALTERNATIVE, 134A, 7, 63780, 1082, 65520
ALTERNATIVE, 134B, 7, 64440, 970, 66180
ALTERNATIVE, 135, 8, 64200, 2332, 66780
ALTERNATIVE, 135A, 8, 65820, 1787, 68400
ALTERNATIVE, 135B, 8, 64260, 1540, 66840
ALTERNATIVE, 136, 6, 64860, 1992, 67020
ALTERNATIVE, 136A, 6, 66180, 2113, 68340
ALTERNATIVE, 136B, 6, 66600, 2008, 68760
ALTERNATIVE, 137, 9, 64500, 1157, 66720
ALTERNATIVE, 137A, 9, 67740, 1581, 69960
ALTERNATIVE, 137B, 9, 64920, 1187, 67140
ALTERNATIVE, 138, 6, 65220, 1902, 67440
ALTERNATIVE, 138A, 6, 65280, 1221, 67500
ALTERNATIVE, 138B, 6, 67140, 1447, 69360
ALTERNATIVE, 139, 1, 65880, 2045, 68040
ALTERNATIVE, 139A, 1, 67260, 1744, 69420
ALTERNATIVE, 139B, 1, 66900, 1914, 69060
ALTERNATIVE, 140, 7, 65700, 1156, 67500
ALTERNATIVE, 140A, 7, 67080, 1347, 68880
ALTERNATIVE, 140B, 7, 68460, 1692, 70260
ALTERNATIVE, 141, 5, 67500, 1798, 69540
ALTERNATIVE, 141A, 5, 70500, 1493, 72540
ALTERNATIVE, 141B, 5, 67500, 1910, 69540
ALTERNATIVE, 142, 2, 66840, 1725, 68580
ALTERNATIVE, 142A, 2, 68040, 1605, 69780
ALTERNATIVE, 142B, 2, 68760, 1630, 70500
ALTERNATIVE, 143, 8, 64980, 1168, 66960
ALTERNATIVE, 143A, 8, 66240, 1950, 68220
ALTERNATIVE, 143B, 8, 66360, 1353, 68340
ALTERNATIVE, 144, 1, 67440, 1146, 69480
ALTERNATIVE, 144A, 1, 67980, 1214, 70020
ALTERNATIVE, 144B, 1, 69300, 1801, 71340
ALTERNATIVE, 145, 7, 67860, 1138, 69900
ALTERNATIVE, 145A, 7, 69960, 1411, 72000
ALTERNATIVE, 145B, 7, 70320, 1073, 72360
ALTERNATIVE, 146, 2, 65760, 951, 67620
ALTERNATIVE, 146A, 2, 67200, 1155, 69060
ALTERNATIVE, 146B, 2, 66240, 1523, 68100
ALTERNATIVE, 147, 1, 66840, 1867, 68820
ALTERNATIVE, 147A, 1, 66900, 1080, 68880
ALTERNATIVE, 147B, 1, 69840, 1889, 71820
ALTERNATIVE, 148, 1, 69060, 1400, 71220
ALTERNATIVE, 148A, 1, 69480, 1467, 71640
ALTERNATIVE, 148B, 1, 71580, 2028, 73740
ALTERNATIVE, 149, 1, 69840, 1896, 72060
ALTERNATIVE, 149A, 1, 70380, 1331, 72600
ALTERNATIVE, 149B, 1, 73020, 2001, 75240
ALTERNATIVE, 150, 6, 68400, 1423, 70620
ALTERNATIVE, 150A, 6, 68700, 1843, 70920
ALTERNATIVE, 150B, 6, 70440, 1141, 72660
ALTERNATIVE, 151, 1, 71640, 1414, 73800
ALTERNATIVE, 151A, 1, 72900, 1234, 75060
ALTERNATIVE, 151B, 1, 73560, 2035, 75720
ALTERNATIVE, 152, 8, 70920, 1733, 73020
ALTERNATIVE, 152A, 8, 73560, 1988, 75660
ALTERNATIVE, 152B, 8, 73800, 1374, 75900
ALTERNATIVE, 153, 2, 71760, 1623, 73860
ALTERNATIVE, 153A, 2, 73080, 1401, 75180
ALTERNATIVE, 153B, 2, 72300, 1907, 74400
ALTERNATIVE, 154, 1, 71820, 1357, 73980
ALTERNATIVE, 154A, 1, 73560, 1587, 75720
ALTERNATIVE, 154B, 1, 73560, 1499, 75720
ALTERNATIVE, 155, 1, 74100, 1302, 76200
ALTERNATIVE, 155A, 1, 75420, 1797, 77520
ALTERNATIVE, 155B, 1, 74940, 1881, 77040
ALTERNATIVE, 156, 7, 73980, 1861, 76080
ALTERNATIVE, 156A, 7, 74160, 1222, 76260
ALTERNATIVE, 156B, 7, 74820, 1509, 76920
ALTERNATIVE, 157, 1, 73020, 1315, 75060
