ILOG_CSV_FORMAT,1,,,


RESOURCE|NAMES,RESOURCE_ID,NAME,CAPACITY,TIME_ORIGIN
RESOURCE|KEYS,1,0,0,0
RESOURCE|TYPES,int,string,int,int
RESOURCE,0,,1,0
RESOURCE,1,,1,0

ACTIVITY|NAMES,ACTIVITY_ID,NAME,SETUP_TYPE,
ACTIVITY|KEYS,1,0,0,
ACTIVITY|TYPES,int,string,int,
ACTIVITY,0,,-1,
ACTIVITY,1,,-1,
ACTIVITY,2,,-1,
ACTIVITY,3,,-1,
ACTIVITY,4,,-1
ACTIVITY,5,,-1
ACTIVITY,6,,-1
ACTIVITY,7,,-1
ACTIVITY,8,,-1
ACTIVITY,9,,-1
ACTIVITY,10,,-1
ACTIVITY,11,,-1
ACTIVITY,12,,-1
ACTIVITY,13,,-1
ACTIVITY,14,,-1
ACTIVITY,15,,-1
ACTIVITY,16,,-1
ACTIVITY,17,,-1
ACTIVITY,18,,-1
ACTIVITY,19,,-1
ACTIVITY,20,,-1,,,,
ACTIVITY,21,,-1,,,,
ACTIVITY,22,,-1,,,,
ACTIVITY,23,,-1,,,,

DUE_DATE|NAMES,ACTIVITY_ID,TYPE,DUE_DATE,EARL_FCOST,EARL_WEIGHT,TARD_FCOST,TARD_WEIGHT
DUE_DATE|TYPES,int,string,int,int,float,int,float
DUE_DATE,0,END,384,0,1,0,48
DUE_DATE,1,END,128,0,1,0,48
DUE_DATE,2,END,256,0,1,0,48
DUE_DATE,3,END,512,0,1,0,48
DUE_DATE,4,END,128,0,1,0,48
DUE_DATE,5,END,384,0,1,0,48
DUE_DATE,6,END,512,0,1,0,48
DUE_DATE,7,END,256,0,1,0,48
DUE_DATE,8,END,512,0,1,0,48
DUE_DATE,9,END,384,0,1,0,48
DUE_DATE,10,END,256,0,1,0,48
DUE_DATE,11,END,128,0,1,0,48
DUE_DATE,12,END,256,0,1,0,48
DUE_DATE,13,END,512,0,1,0,48
DUE_DATE,14,END,128,0,1,0,48
DUE_DATE,15,END,256,0,1,0,48
DUE_DATE,16,END,128,0,1,0,48
DUE_DATE,17,END,384,0,1,0,48
DUE_DATE,18,END,384,0,1,0,48
DUE_DATE,19,END,512,0,1,0,48
DUE_DATE,20,END,512,0,1,0,48
DUE_DATE,21,END,384,0,1,0,48
DUE_DATE,22,END,256,0,1,0,48
DUE_DATE,23,END,128,0,1,0,48

MODE|NAMES,ACTIVITY_ID,MODE_ID,RESOURCE_ID,REQUIRED_CAP,MODE_COST,PMIN,PMAX,SMIN,SMAX,EMIN,EMAX,UNP_COST,UNP_STIME,UNP_SCOST
MODE,18,1,1,1,48,49,49,0,1024,0,1024,120,0,0
MODE,19,0,0,1,48,50,50,0,1024,0,1024,120,0,0
MODE,19,1,1,1,24,50,50,0,1024,0,1024,120,0,0
MODE,20,0,0,1,24,51,51,0,1024,0,1024,120,0,0
MODE,20,1,1,1,48,51,51,0,1024,0,1024,120,0,0
MODE,21,0,0,1,48,52,52,0,1024,0,1024,120,0,0
MODE,21,1,1,1,24,52,52,0,1024,0,1024,120,0,0
MODE,22,0,0,1,24,53,53,0,1024,0,1024,120,0,0
MODE,22,1,1,1,48,53,53,0,1024,0,1024,120,0,0
MODE,23,0,0,1,48,54,54,0,1024,0,1024,120,0,0
MODE,23,1,1,1,24,54,54,0,1024,0,1024,120,0,0
