ILOG_CSV_FORMAT,1,,,


RESOURCE|NAMES,RESOURCE_ID,NAME,CAPACITY,TIME_ORIGIN
RESOURCE|KEYS,1,0,0,0
RESOURCE|TYPES,int,string,int,int
RESOURCE,0,ChocolateGrinder0,1,21600
RESOURCE,1,ChocolateMixer0,1,21600
RESOURCE,2,NutGrinder0,1,21600
RESOURCE,3,FillingMixer0,1,21600
RESOURCE,4,Molder0,1,21600
RESOURCE,5,ChocolateGrinder1,1,21600
RESOURCE,6,ChocolateMixer1,1,21600
RESOURCE,7,NutGrinder1,1,21600
RESOURCE,8,FillingMixer1,1,21600
RESOURCE,9,Molder1,1,21600

RESOURCE_SETUP|NAMES,RESOURCE_ID,INITIAL_SETUP,FINAL_SETUP,MATRIX_ID,
SETUP,2,7,15,6000,45000
SETUP,2,7,16,0,0
SETUP,2,7,17,6000,45000
SETUP,2,8,0,6000,45000
SETUP,2,8,1,6000,45000
SETUP,2,8,2,0,0
SETUP,2,8,3,6000,45000
SETUP,2,8,4,6000,45000
SETUP,2,8,5,0,0
SETUP,2,8,6,6000,45000
SETUP,2,8,7,6000,45000
SETUP,2,8,8,0,0
SETUP,2,8,9,6000,45000
SETUP,2,8,10,6000,45000
SETUP,2,8,11,0,0
SETUP,2,8,12,6000,45000
SETUP,2,8,13,6000,45000
SETUP,2,8,14,0,0
SETUP,2,8,15,6000,45000
SETUP,2,8,16,6000,45000
SETUP,2,8,17,0,0
SETUP,2,9,0,7200,36000
SETUP,2,9,1,10800,81000
SETUP,2,9,2,10800,81000
SETUP,2,9,3,7200,36000
SETUP,2,9,4,10800,81000
SETUP,2,9,5,10800,81000
SETUP,2,9,6,7200,36000
SETUP,2,9,7,10800,81000
SETUP,2,9,8,10800,81000
SETUP,2,9,9,0,0
SETUP,2,9,10,6000,45000
SETUP,2,9,11,6000,45000
SETUP,2,9,12,3600,18000
SETUP,2,9,13,8400,63000
SETUP,2,9,14,8400,63000
SETUP,2,9,15,4800,24000
SETUP,2,9,16,9600,69000
SETUP,2,9,17,9600,69000
SETUP,2,10,0,10800,81000
SETUP,2,10,1,7200,36000
SETUP,2,10,2,10800,81000
SETUP,2,10,3,10800,81000
SETUP,2,10,4,7200,36000
SETUP,2,10,5,10800,81000
SETUP,2,10,6,10800,81000
SETUP,2,10,7,7200,36000
SETUP,2,10,8,10800,81000
SETUP,2,10,9,6000,45000
SETUP,2,10,10,0,0
SETUP,2,10,11,6000,45000
SETUP,2,10,12,8400,63000
SETUP,2,10,13,3600,18000
SETUP,2,10,14,8400,63000
SETUP,2,10,15,9600,69000
SETUP,2,10,16,4800,24000
SETUP,2,10,17,9600,69000
SETUP,2,11,0,10800,81000
SETUP,2,11,1,10800,81000
SETUP,2,11,2,7200,36000
SETUP,2,11,3,10800,81000
SETUP,2,11,4,10800,81000
SETUP,2,11,5,7200,36000
SETUP,2,11,6,10800,81000
SETUP,2,11,7,10800,81000
SETUP,2,11,8,7200,36000
SETUP,2,11,9,6000,45000
SETUP,2,11,10,6000,45000
SETUP,2,11,11,0,0
SETUP,2,11,12,8400,63000
SETUP,2,11,13,8400,63000
SETUP,2,11,14,3600,18000
SETUP,2,11,15,9600,69000
SETUP,2,11,16,9600,69000
SETUP,2,11,17,4800,24000
SETUP,2,12,0,7200,36000
SETUP,2,12,1,10800,81000
SETUP,2,12,2,10800,81000
SETUP,2,12,3,7200,36000
SETUP,2,12,4,10800,81000
SETUP,2,12,5,10800,81000
SETUP,2,12,6,7200,36000
SETUP,2,12,7,10800,81000
SETUP,2,12,8,10800,81000
SETUP,2,12,9,3600,18000
SETUP,2,12,10,8400,63000
SETUP,2,12,11,8400,63000
SETUP,2,12,12,0,0
SETUP,2,12,13,6000,45000
SETUP,2,12,14,6000,45000
SETUP,2,12,15,4800,24000
SETUP,2,12,16,9600,69000
SETUP,2,12,17,9600,69000
SETUP,2,13,0,10800,81000
SETUP,2,13,1,7200,36000
SETUP,2,13,2,10800,81000
SETUP,2,13,3,10800,81000
SETUP,2,13,4,7200,36000
SETUP,2,13,5,10800,81000
SETUP,2,13,6,10800,81000
SETUP,2,13,7,7200,36000
SETUP,2,13,8,10800,81000
SETUP,2,13,9,8400,63000
SETUP,2,13,10,3600,18000
SETUP,2,13,11,8400,63000
SETUP,2,13,12,6000,45000
SETUP,2,13,13,0,0
SETUP,2,13,14,6000,45000
SETUP,2,13,15,9600,69000
SETUP,2,13,16,4800,24000
SETUP,2,13,17,9600,69000
SETUP,2,14,0,10800,81000
SETUP,2,14,1,10800,81000
SETUP,2,14,2,7200,36000
SETUP,2,14,3,10800,81000
SETUP,2,14,4,10800,81000
SETUP,2,14,5,7200,36000
SETUP,2,14,6,10800,81000
SETUP,2,14,7,10800,81000
SETUP,2,14,8,7200,36000
SETUP,2,14,9,8400,63000
SETUP,2,14,10,8400,63000
SETUP,2,14,11,3600,18000
SETUP,2,14,12,6000,45000
SETUP,2,14,13,6000,45000
SETUP,2,14,14,0,0
SETUP,2,14,15,9600,69000
SETUP,2,14,16,9600,69000
SETUP,2,14,17,4800,24000
SETUP,2,15,0,7200,36000
SETUP,2,15,1,10800,81000
SETUP,2,15,2,10800,81000
SETUP,2,15,3,7200,36000
SETUP,2,15,4,10800,81000
SETUP,2,15,5,10800,81000
SETUP,2,15,6,7200,36000
SETUP,2,15,7,10800,81000
SETUP,2,15,8,10800,81000
SETUP,2,15,9,0,0
SETUP,2,15,10,6000,45000
SETUP,2,15,11,6000,45000
SETUP,2,15,12,0,0
SETUP,2,15,13,6000,45000
SETUP,2,15,14,6000,45000
SETUP,2,15,15,0,0
SETUP,2,15,16,6000,45000
SETUP,2,15,17,6000,45000
SETUP,2,16,0,10800,81000
SETUP,2,16,1,7200,36000
SETUP,2,16,2,10800,81000
SETUP,2,16,3,10800,81000
SETUP,2,16,4,7200,36000
SETUP,2,16,5,10800,81000
SETUP,2,16,6,10800,81000
SETUP,2,16,7,7200,36000
SETUP,2,16,8,10800,81000
SETUP,2,16,9,6000,45000
SETUP,2,16,10,0,0
SETUP,2,16,11,6000,45000
SETUP,2,16,12,6000,45000
SETUP,2,16,13,0,0
SETUP,2,16,14,6000,45000
SETUP,2,16,15,6000,45000
SETUP,2,16,16,0,0
SETUP,2,16,17,6000,45000
SETUP,2,17,0,10800,81000
SETUP,2,17,1,10800,81000
SETUP,2,17,2,7200,36000
SETUP,2,17,3,10800,81000
SETUP,2,17,4,10800,81000
SETUP,2,17,5,7200,36000
SETUP,2,17,6,10800,81000
SETUP,2,17,7,10800,81000
SETUP,2,17,8,7200,36000
SETUP,2,17,9,6000,45000
SETUP,2,17,10,6000,45000
SETUP,2,17,11,0,0
SETUP,2,17,12,6000,45000
SETUP,2,17,13,6000,45000
SETUP,2,17,14,0,0
SETUP,2,17,15,6000,45000
SETUP,2,17,16,6000,45000
SETUP,2,17,17,0,0

ACTIVITY|NAMES,ACTIVITY_ID,NAME,SETUP_TYPE,,
ACTIVITY|KEYS,1,0,0,,
ACTIVITY|TYPES,int,string,int,,
ACTIVITY,0,DNE_CG_00,-1,,
ACTIVITY,1,DNE_CM_00,0
ACTIVITY,2,DNE_MO_00,6
ACTIVITY,3,DNE_CG_01,-1
ACTIVITY,4,DNE_CM_01,0
ACTIVITY,5,DNE_MO_01,6
ACTIVITY,6,DNE_CG_02,-1
ACTIVITY,7,DNE_CM_02,0
ACTIVITY,8,DNE_MO_02,6
ACTIVITY,9,DNE_CG_03,-1
ACTIVITY,10,DNE_CM_03,0
ACTIVITY,11,DNE_MO_03,6
ACTIVITY,12,DNE_CG_04,-1
ACTIVITY,13,DNE_CM_04,0
ACTIVITY,14,DNE_MO_04,6
ACTIVITY,15,DNE_CG_05,-1
ACTIVITY,16,DNE_CM_05,0
ACTIVITY,17,DNE_MO_05,6
ACTIVITY,18,DNE_CG_06,-1
ACTIVITY,19,DNE_CM_06,0
ACTIVITY,20,DNE_MO_06,6
ACTIVITY,21,MNE_CG_07,-1
ACTIVITY,22,MNE_CM_07,1
ACTIVITY,23,MNE_MO_07,15
ACTIVITY,24,MNE_CG_08,-1
ACTIVITY,25,MNE_CM_08,1
ACTIVITY,26,MNE_MO_08,15
ACTIVITY,27,MNE_CG_09,-1
ACTIVITY,28,MNE_CM_09,1
ACTIVITY,29,MNE_MO_09,15
ACTIVITY,30,MHR_CG_10,-1
ACTIVITY,31,MHR_CM_10,1
ACTIVITY,32,MHR_NG_10,1
ACTIVITY,33,MHR_FM_10,1
ACTIVITY,34,MHR_MO_10,13
ACTIVITY,35,MHR_CG_11,-1
ACTIVITY,36,MHR_CM_11,1
ACTIVITY,37,MHR_NG_11,1
ACTIVITY,38,MHR_FM_11,1
ACTIVITY,39,MHR_MO_11,13
ACTIVITY,40,MHR_CG_12,-1
ACTIVITY,41,MHR_CM_12,1
ACTIVITY,42,MHR_NG_12,1
ACTIVITY,43,MHR_FM_12,1
ACTIVITY,44,MHR_MO_12,13
ACTIVITY,45,MHR_CG_13,-1
ACTIVITY,46,MHR_CM_13,1
ACTIVITY,47,MHR_NG_13,1
ACTIVITY,48,MHR_FM_13,1
ACTIVITY,49,MHR_MO_13,13
ACTIVITY,50,MHR_CG_14,-1
ACTIVITY,51,MHR_CM_14,1
ACTIVITY,52,MHR_NG_14,1
ACTIVITY,53,MHR_FM_14,1
ACTIVITY,54,MHR_MO_14,13
ACTIVITY,55,MHR_CG_15,-1
ACTIVITY,56,MHR_CM_15,1
ACTIVITY,57,MHR_NG_15,1
ACTIVITY,58,MHR_FM_15,1
ACTIVITY,59,MHR_MO_15,13
ACTIVITY,60,DCE_CG_16,-1
ACTIVITY,61,DCE_CM_16,0
ACTIVITY,62,DCE_NG_16,0
ACTIVITY,63,DCE_FM_16,0
ACTIVITY,64,DCE_MO_16,0
ACTIVITY,65,DCE_CG_17,-1
ACTIVITY,66,DCE_CM_17,0
ACTIVITY,67,DCE_NG_17,0
ACTIVITY,68,DCE_FM_17,0
ACTIVITY,69,DCE_MO_17,0
ACTIVITY,70,DCE_CG_18,-1
ACTIVITY,71,DCE_CM_18,0
ACTIVITY,72,DCE_NG_18,0
ACTIVITY,73,DCE_FM_18,0
ACTIVITY,74,DCE_MO_18,0
ACTIVITY,75,DCE_CG_19,-1
ACTIVITY,76,DCE_CM_19,0
ACTIVITY,77,DCE_NG_19,0
ACTIVITY,78,DCE_FM_19,0
ACTIVITY,79,DCE_MO_19,0
ACTIVITY,80,DCE_CG_20,-1
ACTIVITY,81,DCE_CM_20,0
ACTIVITY,82,DCE_NG_20,0
ACTIVITY,83,DCE_FM_20,0
ACTIVITY,84,DCE_MO_20,0
ACTIVITY,85,DCE_CG_21,-1
ACTIVITY,86,DCE_CM_21,0
ACTIVITY,87,DCE_NG_21,0
ACTIVITY,88,DCE_FM_21,0
ACTIVITY,89,DCE_MO_21,0
ACTIVITY,90,MHR_CG_22,-1
ACTIVITY,91,MHR_CM_22,1
ACTIVITY,92,MHR_NG_22,1
ACTIVITY,93,MHR_FM_22,1
ACTIVITY,94,MHR_MO_22,13
ACTIVITY,95,MHR_CG_23,-1
ACTIVITY,96,MHR_CM_23,1
ACTIVITY,97,MHR_NG_23,1,,,,
ACTIVITY,98,MHR_FM_23,1,,,,
ACTIVITY,99,MHR_MO_23,13,,,,

DUE_DATE|NAMES,ACTIVITY_ID,TYPE,DUE_DATE,EARL_FCOST,EARL_WEIGHT,TARD_FCOST,TARD_WEIGHT
DUE_DATE|TYPES,int,string,int,int,float,int,float
DUE_DATE,2,END,453600,0,0.02,0,0.04
DUE_DATE,5,END,453600,0,0.02,0,0.04
DUE_DATE,8,END,453600,0,0.02,0,0.04
DUE_DATE,11,END,453600,0,0.02,0,0.04
DUE_DATE,14,END,453600,0,0.02,0,0.04
DUE_DATE,17,END,453600,0,0.02,0,0.04
DUE_DATE,20,END,453600,0,0.02,0,0.04
DUE_DATE,23,END,108000,0,0.02,0,0.08
DUE_DATE,26,END,108000,0,0.02,0,0.08
DUE_DATE,29,END,108000,0,0.02,0,0.08
DUE_DATE,34,END,194400,0,0.1,0,0.2,,,,,,,
DUE_DATE,39,END,194400,0,0.1,0,0.2,,,,,,,
DUE_DATE,44,END,367200,0,0.1,0,0.2,,,,,,,
DUE_DATE,49,END,367200,0,0.1,0,0.2,,,,,,,
DUE_DATE,54,END,367200,0,0.1,0,0.2,,,,,,,
DUE_DATE,59,END,367200,0,0.1,0,0.2,,,,,,,
DUE_DATE,64,END,280800,0,0.02,0,0.14,,,,,,,
DUE_DATE,69,END,280800,0,0.02,0,0.14,,,,,,,
DUE_DATE,74,END,280800,0,0.02,0,0.14,,,,,,,
DUE_DATE,79,END,453600,0,0.02,0,0.14,,,,,,,
DUE_DATE,84,END,453600,0,0.02,0,0.14,,,,,,,
DUE_DATE,89,END,453600,0,0.02,0,0.14,,,,,,,
DUE_DATE,94,END,453600,0,0.1,0,0.2,,,,,,,
DUE_DATE,99,END,453600,0,0.1,0,0.2,,,,,,,

MODE|NAMES,ACTIVITY_ID,MODE_ID,RESOURCE_ID,REQUIRED_CAP,MODE_COST,PMIN,PMAX,SMIN,SMAX,EMIN,EMAX,UNP_COST,UNP_STIME,UNP_SCOST
MODE|TYPES,int,int,int,int,int,int,int,int,int,int,int,int,int,int
MODE,0,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,1,0,1,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,2,0,4,1,110,12600,12600,21600,592200,34200,604800,12600,0,0
MODE,3,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,4,0,1,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,5,0,4,1,110,12600,12600,21600,592200,34200,604800,12600,0,0
MODE,6,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,7,0,1,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,8,0,4,1,110,12600,12600,21600,592200,34200,604800,12600,0,0
MODE,9,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,10,0,1,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,11,0,4,1,110,12600,12600,21600,592200,34200,604800,12600,0,0
MODE,12,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,13,0,1,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,14,0,4,1,110,12600,12600,21600,592200,34200,604800,12600,0,0
MODE,15,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,16,0,1,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,17,0,4,1,110,12600,12600,21600,592200,34200,604800,12600,0,0
MODE,18,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,19,0,1,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,20,0,4,1,110,12600,12600,21600,592200,34200,604800,12600,0,0
MODE,21,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,22,0,1,1,100,19000,19000,21600,585800,40600,604800,19000,0,0
MODE,23,0,4,1,110,12600,12600,21600,592200,34200,604800,12600,0,0
MODE,24,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,25,0,1,1,100,19000,19000,21600,585800,40600,604800,19000,0,0
MODE,26,0,4,1,110,12600,12600,21600,592200,34200,604800,12600,0,0
MODE,27,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,28,0,1,1,100,19000,19000,21600,585800,40600,604800,19000,0,0
MODE,29,0,4,1,110,12600,12600,21600,592200,34200,604800,12600,0,0
MODE,30,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,31,0,1,1,100,19000,19000,21600,585800,40600,604800,19000,0,0
MODE,32,0,2,1,100,11700,11700,21600,593100,33300,604800,11700,0,0
MODE,33,0,3,1,100,15500,15500,21600,589300,37100,604800,15500,0,0
MODE,34,0,4,1,225,23400,23400,21600,581400,45000,604800,23400,0,0
MODE,35,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,36,0,1,1,100,19000,19000,21600,585800,40600,604800,19000,0,0
MODE,37,0,2,1,100,11700,11700,21600,593100,33300,604800,11700,0,0
MODE,38,0,3,1,100,15500,15500,21600,589300,37100,604800,15500,0,0
MODE,39,0,4,1,225,23400,23400,21600,581400,45000,604800,23400,0,0
MODE,40,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,41,0,1,1,100,19000,19000,21600,585800,40600,604800,19000,0,0
MODE,42,0,2,1,100,11700,11700,21600,593100,33300,604800,11700,0,0
MODE,43,0,3,1,100,15500,15500,21600,589300,37100,604800,15500,0,0
MODE,44,0,4,1,225,23400,23400,21600,581400,45000,604800,23400,0,0
MODE,45,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,46,0,1,1,100,19000,19000,21600,585800,40600,604800,19000,0,0
MODE,47,0,2,1,100,11700,11700,21600,593100,33300,604800,11700,0,0
MODE,48,0,3,1,100,15500,15500,21600,589300,37100,604800,15500,0,0
MODE,49,0,4,1,225,23400,23400,21600,581400,45000,604800,23400,0,0
MODE,50,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,51,0,1,1,100,19000,19000,21600,585800,40600,604800,19000,0,0
MODE,52,0,2,1,100,11700,11700,21600,593100,33300,604800,11700,0,0
MODE,53,0,3,1,100,15500,15500,21600,589300,37100,604800,15500,0,0
MODE,54,0,4,1,225,23400,23400,21600,581400,45000,604800,23400,0,0
MODE,55,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,56,0,1,1,100,19000,19000,21600,585800,40600,604800,19000,0,0
MODE,57,0,2,1,100,11700,11700,21600,593100,33300,604800,11700,0,0
MODE,58,0,3,1,100,15500,15500,21600,589300,37100,604800,15500,0,0
MODE,59,0,4,1,225,23400,23400,21600,581400,45000,604800,23400,0,0
MODE,60,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,61,0,1,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,62,0,2,1,50,5400,5400,21600,599400,27000,604800,5400,0,0
MODE,63,0,3,1,50,9000,9000,21600,595800,30600,604800,9000,0,0
MODE,64,0,4,1,125,18000,18000,21600,586800,39600,604800,18000,0,0
MODE,65,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,66,0,1,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,67,0,2,1,50,5400,5400,21600,599400,27000,604800,5400,0,0
MODE,68,0,3,1,50,9000,9000,21600,595800,30600,604800,9000,0,0
MODE,69,0,4,1,125,18000,18000,21600,586800,39600,604800,18000,0,0
MODE,70,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,71,0,1,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,72,0,2,1,50,5400,5400,21600,599400,27000,604800,5400,0,0
MODE,73,0,3,1,50,9000,9000,21600,595800,30600,604800,9000,0,0
MODE,74,0,4,1,125,18000,18000,21600,586800,39600,604800,18000,0,0
MODE,75,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,76,0,1,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,77,0,2,1,50,5400,5400,21600,599400,27000,604800,5400,0,0
MODE,78,0,3,1,50,9000,9000,21600,595800,30600,604800,9000,0,0
MODE,79,0,4,1,125,18000,18000,21600,586800,39600,604800,18000,0,0
MODE,80,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,81,0,1,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,82,0,2,1,50,5400,5400,21600,599400,27000,604800,5400,0,0
MODE,83,0,3,1,50,9000,9000,21600,595800,30600,604800,9000,0,0
MODE,84,0,4,1,125,18000,18000,21600,586800,39600,604800,18000,0,0
MODE,85,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,86,0,1,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,87,0,2,1,50,5400,5400,21600,599400,27000,604800,5400,0,0
MODE,88,0,3,1,50,9000,9000,21600,595800,30600,604800,9000,0,0
MODE,89,0,4,1,125,18000,18000,21600,586800,39600,604800,18000,0,0
MODE,90,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,91,0,1,1,100,19000,19000,21600,585800,40600,604800,19000,0,0
MODE,92,0,2,1,100,11700,11700,21600,593100,33300,604800,11700,0,0
MODE,93,0,3,1,100,15500,15500,21600,589300,37100,604800,15500,0,0
MODE,94,0,4,1,225,23400,23400,21600,581400,45000,604800,23400,0,0
MODE,95,0,0,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,96,0,1,1,100,19000,19000,21600,585800,40600,604800,19000,0,0
MODE,97,0,2,1,100,11700,11700,21600,593100,33300,604800,11700,0,0
MODE,98,0,3,1,100,15500,15500,21600,589300,37100,604800,15500,0,0
MODE,99,0,4,1,225,23400,23400,21600,581400,45000,604800,23400,0,0
MODE,0,1,5,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,1,1,6,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,2,1,9,1,110,12600,12600,21600,592200,34200,604800,12600,0,0
MODE,3,1,5,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,4,1,6,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
MODE,5,1,9,1,110,12600,12600,21600,592200,34200,604800,12600,0,0
MODE,6,1,5,1,50,13500,13500,21600,591300,35100,604800,13500,0,0
